템플릿 주제,활용 가능 분야,업종,템플릿 코드,버튼명,템플릿 내용,비고
가격 변경 안내,통신 할인 안내,휴대폰 판매점,price_noti_non_01        ,,"[가격 변경 안내]

안녕하세요, #{수신자}님.
요청하신 통신 가격에 변경 사항이 있어 다음과 같이 안내드립니다.

▶ 변경 적용일: #{적용일}
▶ 주요 변경 내용:
#{주요 변경 내용}

#{추가 메시지 - 추가 문의사항은 채널을 통해 접수 부탁드립니다.}

※ 본 메시지는 정책에 따라 가격 변동 알림 요청 고객 한정으로 발송된 메시지입니다.",
방문 예약,아파트 광고,부동산,store_notice_img_01,,"안녕하세요 #{수신자명}님,
오프라인 매장 방문 예약 이벤트에 대한 정보입니다. 고객님이 요청하신 방문 일정에 따라 아래와 같이 예약이 완료되었습니다.

▶ 매장 이름: #{매장명} 

▶ 방문 일정: #{방문일정}

자세한 내용은 아래 버튼을 클릭하시면 확인 가능합니다.

*이 메시지는 오프라인 매장 방문 예약 이벤트 정보를 신청하신 분들께 발송되는 메시지입니다.",
행사장 위치 안내,아파트 광고,부동산,location_info_img_02	,,"[행사장 위치 안내]

안녕하세요 #{수신자} 고객님,
신청하신 #{행사명} 행사장 위치를 안내드립니다.

▶ 장소 : #{장소}
▶ 행사 시간 : #{방문가능시간}

#{추가 메시지 - 문의사항은 고객센터로 연락 부탁드립니다.}

※ 해당 메시지는 고객님의 알림 신청에 의해 발송되는 일회성 메시지입니다.",
상담 예약,아파트 광고,부동산,JOBER0529_1642990348753,,"#{수신자명}님, #{발신 스페이스}입니다.
상담 예약 확인 안내 문자드립니다.

▶예약 일정 : #{예약 일정}
▶오시는 길: #{오시는 길}
▶예약문의: #{예약문의}

감사합니다.",
가격 변경 안내,음식점 광고,상품⋅음식,price_noti_non_03,,"[가격 변경 안내]

안녕하세요, #{수신자}님.
요청하신 음식 가격에 변경 사항이 있어 다음과 같이 안내드립니다.

▶ 변경 적용일: #{적용일}
▶ 주요 변경 내용:
#{주요 변경 내용}

#{추가 메시지 - 추가 문의사항은 채널을 통해 접수 부탁드립니다.}

※ 본 메시지는 정책에 따라 가격 변동 알림 요청 고객 한정으로 발송된 메시지입니다.",
강의 일정 안내,강의/학원 홍보,교육⋅학원,lesson_info_non_01,,"[#{강의 이름} 강의 일정 안내]

안녕하세요, 고객님  
#{강의 이름} 강의에 신청해주셔서 감사합니다.  
요청하신 #{강의 내용} 일정은 아래와 같습니다.

▶ 강의 주제: #{강의 주제}
▶ 강의 형식: #{강의 형식}
▶ 강의 일정: #{일정}  
▶ 참여 방법: #{참여방법}

※ 본 메시지는 해당 강의를 신청하신 분들께 발송된 정보성 안내입니다.",
학습 주요 사항 안내,강의/학원 홍보,교육⋅학원,lesson_info_img_01,,"[#{학원명} 주요 사항 안내]

안녕하세요, #{수신자명}님  
#{학원명} 학습과 관련된 중요 안내 사항이 있어 전달드립니다.

▶ 안내 항목: #{안내제목}  
▶ 관련 내용: #{내용요약}

※ 본 메시지는 #{학원명} 수강생 중 관련 정보를 요청하신 분들께 발송되는 정보성 안내입니다.",
적립금 소멸 알림,구매 유도,공통,point_expired_img_01,,"안녕하세요, 자버입니다.
#{수신자}님께서 보유하신 적립금이 소멸될 예정임을 안내드립니다.

- 소멸 예정 적립금 : #{소멸예정적립금}원
- 사용 가능 기한 : ~#{사용가능기한}

#{추가메시지 - 마포점에서만 사용 가능한 적립금입니다.}

※ 이 메시지는 이용약관(계약서) 동의에 따라 지급된 적립금의 소멸 안내 메시지입니다.",업체명 고정 필요 -> 전용 예시
꿀팁 안내,"회원 관리, 구매 유도",뷰티⋅건강,tip_received_img_01,,"안녕하세요, 자버헤어입니다.
펌 시술 후 머릿결 관리 꿀팁을 안내드립니다!

#{추가 메시지 - 겨울철에는 더욱 열심히 관리해주세요.}

*자버헤어에서 시술 후 요청하신 분들께 발송된 메시지입니다.",
신규 회원 혜택,혜택 안내,공통, signup_done_img_01,,"안녕하세요, #{수신자}님!
#{발신 스페이스}의 회원이 되신 것을 환영합니다.

🔔 신규 회원 안내 사항 🔔
#{안내사항}",
서비스 업데이트 알림,신규 서비스 홍보,서비스,update_noti_img_01,,"[서비스 업데이트 알림]
안녕하세요, #{발신 스페이스}입니다.

#{서비스명}의 새로운 기능을 안내드립니다!
► #{기능}

#{추가 메시지 - 새로운 기능으로 발송해 보세요!}

* 업데이트 기능 알림 요청에 따라 발송된 메시지입니다.",
샘플 입고 알림,구매 유도,상품⋅음식,JOBER0529_1642987934862,,"#{수신자명}님,
새로운 경험을 전해드리는 
#{발신 스페이스} 입니다!

#{수신자명}님께서 신청하신 새로운 샘플이 입고되었습니다.

▶샘플: #{샘플}

지금 바로 이용해 보세요!",
쿠폰 발급 안내,이벤트/혜택 안내,공통,coupon_noti_img_02,,"안녕하세요, #{수신자} 회원님!
#{발신 스페이스}입니다.

회원님께 발급된 쿠폰을 안내드립니다.

► 쿠폰명 : #{쿠폰명}
► 사용기한 : #{사용기한}

#{추가 메시지 - 문의 사항은 언제든 편하게 연락주세요.}

* 이 메시지는 이용약관(계약서) 동의에 따라 지급된 쿠폰 안내 메시지입니다.",
PT 결과 안내,"회원관리, 재구매 유도",뷰티⋅건강,pt_result_non_01,,"[#{발신스페이스}]
#{수신자} 회원님의 PT 결과를 안내드립니다.

► 기간: #{기간}
► 결과: #{결과}

#{추가 메시지 - 꾸준한 노력으로 만들어낸 인바디 변화를 확인해 보세요.}",
