텍스트,분류 1차,분류 2차,자동 생성 제목,템플릿 코드,버튼,공용/전용,업종분류,목적분류,,,업종분류
"안녕하세요 #{수신자명}님,  요청하신 소개서를 보내드립니다.  아래 버튼을 클릭하시면 자세한 내용을 확인하실 수 있습니다.  *소개서는 요청하신 분들께 발송되는 메시지입니다.",서비스이용,이용안내/공지,회사소개서 발송,Introduction25042903,소개서 확인하기,공용,기타,공지/안내,,134,기타
"안녕하세요 #{수신자명}님,  요청하신 서비스 소개서가 발송되었습니다.  아래 버튼을 클릭하시면 자세한 내용을 확인하실 수 있습니다.  *서비스 소개서를 요청하신 분들께 발송되는 메시지입니다.",서비스이용,이용안내/공지,서비스 소개서 발송,Introduction25042902,소개서 확인하기,공용,서비스업,공지/안내,,165,서비스업
"안녕하세요, #{수신자명}님   강의에 신청해주셔서 감사합니다.   요청하신 강의 일정은 아래와 같습니다.  ▶ 강의 주제: 화장품 창업 마케팅   ▶ 강의 형식: 줌(Zoom) 온라인 강의   ▶ 강의 일정: #{일정}   ▶ 참여 방법: #{참여방법}  ※ 본 메시지는 해당 강의를 신청하신 분들께 발송된 정보성 안내입니다.",서비스이용,이용안내/공지,(전용) 강의 일정 안내 / 화케터,c0032_lesson_info_non_01,수강하기,전용,교육,신청,,61,교육
"[템플릿 내용] [수업 후기 작성 요청] 안녕하세요, 입니다. 수업은 어떠셨나요?  #{추가 메시지 - 아래 버튼 클릭 후 후기를 남겨주세요!}",서비스이용,피드백 요청,(공용) 후기 작성 요청_이미지형_01,academy_review_img_01,후기 작성하기,공용,교육,신청,,2,부동산
■ #{제목}  인보이스가 도착했습니다.  #{추가 메시지},리포팅,피드백,(공용) 인보이스 알림_이미지형_01,invoice_received_img_01,확인하기,,기타,공지/안내,,1,건설업
수강 신청 관련 안내드립니다.  ►대상 : #{대상} ►일정 : #{일정}  자세한 사항은 아래 버튼 클릭 후 확인 부탁드립니다.,서비스이용,이용안내/공지,(공용) 수강 신청 안내_이미지형_01,academy_apply_img_01,자세히 확인하기,,교육,공지/안내,,68,소매업
남겨주신 문의에 대한 답변이 완료되었습니다.  ■ #{제목}  #{추가 메시지 - 자세한 사항은 아래 버튼 클릭 후 확인 부탁드립니다.},리포팅,피드백,(공용) 문의 답변 완료 알림_이미지형_01,inquiry_answered_img_01,자세히 확인하기,,기타,공지/안내,,3,공연/문화
담당자 배정이 완료되었습니다.  ■ 담당자명 : #{담당자명}  #{추가메시지 - 작성해 주신 연락처로 연락드리겠습니다.},서비스이용,방문서비스,(공용) 담당자 배정 알림_이미지형_01,charge_assigned_img_01,자세히 확인하기,,기타,공지/안내,,1,제조업
■ #{제목}  #{수신자}님의 급여명세서가 도착했습니다.  #{추가 메시지},서비스이용,이용안내/공지,(공용) 급여명세서 알림_이미지형_01,salary_received_img_01,확인하기,,기타,공지/안내,,13,금융
"[과제 안내] 안녕하세요, 발신 스페이스입니다. 과제 관련 안내드립니다.  ✏️ 수업명 : 수업명 ✏️ 과제명 : 과제명  추가 메시지",서비스이용,이용안내/공지,(공용) 과제 안내_이미지형_01,academy_homework_img_01,자세히 확인하기,,교육,공지/안내,,2,IT/소프트웨어
[운암자이포레나 상담 일정 안내]  안녕하세요.   상담 예약을 해주셔서 감사합니다. 아래와 같이 예약 내용을 안내드립니다.  ■ 상담 일정: #{예약일시}   ■ 위치: #{위치} ■ 문의: #{문의처}  ※ 본 메시지는 상담 예약자에게만 발송됩니다.,예약,예약완료,(전용) 상담 예약 안내 / 운암자이포레나,c0030_schedule_info_non_01,자세히 보기,,부동산,예약,,,
"안녕하세요 #{수신자명}님,    요청하신 서비스 관련 주요 항목을 안내드립니다.  ◈ 랜 공사 및 네트워크 공사   ◈ 무선 AP 및 와이파이 설치   ◈ 서버실 구축 및 이전 설치   ◈ 방화벽 설치   ◈ CCTV 설치  상세한 내용은 상담을 통해 별도로 안내드릴 예정입니다.   궁금하신 점이 있으시면 상담처로 연락 바랍니다.  ▶ 상담 전화: 1544-5060  ※ 본 메시지는 서비스 견적 또는 상담을 요청하신 분들께 발송된 일회성 안내입니다.",서비스이용,이용도구,(전용) 기업통신 서비스 안내 / 대성정보통신,c0029_service_info_img_01,시공 사례 보기,,건설업,공지/안내,,,
"안녕하세요 #{수신자명}님, 오프라인 매장 방문 예약 이벤트에 대한 정보입니다. 고객님이 요청하신 방문 일정에 따라 아래와 같이 예약이 완료되었습니다.  ▶ 매장 이름: #{매장명}   ▶ 방문 일정: #{방문일정}  자세한 내용은 아래 버튼을 클릭하시면 확인 가능합니다.  *이 메시지는 오프라인 매장 방문 예약 이벤트 정보를 신청하신 분들께 발송되는 메시지입니다.",서비스이용,방문서비스,(전용) 오프라인 매장 방문 예약 안내 01 / 가구이즈,c0028_store_notice_img_01,자세히 보기,,소매업,예약,,,
"안녕하세요, #{수신자}님   조직위원회입니다.  참가 신청해주신 #{0}라운드 선수분들께 경기 진행과 관련한 안내사항을 전달드립니다.  ▶ 일정: #{일정} ▶ 장소: #{장소}  ▶ 안내사항: #{안내사항}  ※ 본 메시지는 #{0}라운드 참가 신청자에게 발송되는 알림입니다.",서비스이용,이용안내/공지,(전용) 플레이그라운드 회원 안내 / 플레이그라운드,c0027_welcome_noti_non_01,자세히 확인하기,,기타,공지/안내,,,
"안녕하세요 #{수신자명}님, #{교육정보} 정보를 안내드립니다.  ▶ 일시 : #{일시} ▶ 장소 : #{장소} ▶ 문의처 : #{문의처}  ※ 본 메시지는 신청자 대상으로 발송되었습니다.   자세한 안내는 아래 링크를 확인해 주세요.",서비스이용,이용안내/공지,(전용) 일정 안내 / 대한스포츠아티스트재활협회,c0026_schedule_noti_non_01,자세히 보기,,교육,공지/안내,,,
"안녕하세요 #{수신자명}님, 요청하신 무인매장 관리 방법 공유드립니다. 500여 개 매장을 운영 중인 사장님들의 무인매장 관리 방법을 바로 확인해보세요!  번호 오입력으로 발송될 수 있으니 양해 부탁드립니다.",서비스이용,이용안내/공지,(전용) 무인매장 관리 안내 / 브라우니,c0025_shop_manage_img_01,자세히 보기,,소매업,공지/안내,,,
"안녕하세요, #{담당자명}님.  공연을 위한 모든 준비가 완료되었습니다. 내일 진행될 공연에 대한 리마인드를 드립니다.🎵  ✔️공연명 : #{공연명} ✔️공연 일시 : #{공연 일시} ✔️공연 장소 : #{공연 장소}  #{추가메시지 - 운영팀은 공연 시작 1시간 30분 전, 연주팀은 공연 시작 1시간 전 도착 예정입니다.}",서비스이용,리마인드,(전용) 공연 리마인드 안내 / 브라비,c0024_perf_noti_non_01,X,,공연/문화,공지/안내,,,
"[템플릿 내용] [서비스 업데이트 알림] 안녕하세요, 발신 스페이스입니다.  새로운 기능을 안내드립니다! ► 기능  추가 메시지 - 새로운 기능으로 발송해 보세요!  * 업데이트 기능 알림 요청에 따라 발송된 메시지입니다.",서비스이용,이용안내/공지,(공용) 기능 업데이트 안내 01,update_noti_img_01,자세히 확인하기,,서비스업,공지/안내,,,
[벽체용 판넬 가격 변동 안내]  ► E.P.S. : #{EPS}원 ► 난연EPS : #{난연EPS}원 ► G.W. : #{GW}원 ► 우레탄 : #{우레탄}원  * 변동일 : #{변동일} * 50T 벽체 판넬 기준입니다. * 가격 변동 알림을 신청하신 분들께 발송된 메시지입니다.  #{추가 메시지 - 문의사항은 고객센터로 접수 부탁드립니다.},서비스이용,이용안내/공지,(전용) 벽체용 판넬 가격 변동 안내 01 / 에코,msg_c0023_price_info_non_01,X,,제조업,공지/안내,,,
"[템플릿 내용] [행사장 위치 안내]  안녕하세요 #{수신자}님, 신청하신 행사장 위치를 안내드립니다.  ▶ 장소 : #{2} ▶ 방문가능시간 : #{3}  #{추가 메시지 - 행사 찾아오는 길}  ※ 해당 메시지는 고객님의 알림 신청에 의해 발송되는 일회성 메시지입니다.",서비스이용,방문서비스,(전용) 행사장 위치 안내 01 / 디마크,c0022_location_info_img_01,자세히 확인하기,,서비스업,공지/안내,,,
스페이스와 해당 채널 연동이 완료되었습니다.  * 신청하신 채널로 정상 연동되지 않은 경우 문의 바랍니다.,기타,기타,(공용) 채널 연동 완료 안내 01,msg_channel_link_non_01,X,,기타,신청,,,
