,템플릿 코드,템플릿 이름,템플릿 내용,카테고리,서브카테고리,제안 버튼명
,JOBER0411_1655976365393,입고 완료 안내,"안녕하세요 #{수신자명}님,
 고객님께서 주문하신 #{상품명} 상품이 준비되었습니다.
 방문하여 수령해주시기 바랍니다.
 
 주문 내역은 홈페이지에서 확인해주세요.
 
 감사합니다.",구매,구매완료,확인하기
,JOBER0411_1655976663587,입금 완료,"안녕하세요 #{수신자명}고객님,
 주문하신 상품의 입금이 확인되었습니다.
 
 ▶ 주문상품 : #{주문상품}
 ▶ 주문번호 : #{주문번호}
 
 기다리시는 상품 최대한 빠르게 준비하겠습니다.
 감사합니다.",구매,구매완료,확인하기
,JOBER0411_1638851192158,상품 가입 감사 인사,"안녕하세요 #{수신자명}님,
 #{상품}상품 가입을 해주셔서 진심으로 감사 드립니다.
 
 가입하신 상품의 주요 내용을 확인하시려면 아래 버튼을 클릭해 주세요.",구매,상품가입,확인하기
,JOBER0411_1638851293059,정기구독 결제 안내,"안녕하세요 #{수신자명}님,
 정기구독 안내 드립니다.
 
 상품명 : #{상품명}
 상품가격 : #{상품가격}
 결제예정일 : #{결제예정일}
 
 위 내용으로 정기구독 결제 및 배송이 진행될 예정입니다.
 
 감사합니다.",구매,상품가입,결제하기
,JOBER0411_1638851134028,구매 확정 완료 안내,"안녕하세요 #{수신자명}님,
 구매하신 상품의 구매확정이 완료되었습니다.
 
 주문상품 : #{주문상품}
 구매확정일 : #{구매확정일}",구매,구매완료,자세히보기
,JOBER0411_1638851062172,환불 처리 완료 안내,"안녕하세요 #{수신자명}님,
 고객님의 주문(주문번호:#{주문번호})이의 환불 처리가 완료되었습니다.
 (환불금액:#{환불금액}원)",구매,구매완료,자세히보기
,JOBER0411_1638850536536,주문 최소 안내,"안녕하세요 #{수신자명}님,
 주문이 정상적으로 취소 되었습니다. 
 
 ▶ 주문번호 : #{주문번호}
 ▶ 취소일시 : #{취소일시}
 ▶ 취소상품 : #{취소상품}
 
 아래 버튼을 클릭하시면 상세한 취소내역을 확인하실 수 있습니다.",구매,구매취소,확인하기
,JOBER0411_1642988001011,구매 마감 알림,"사전 구매 신청하신 #{상품명}이 재고 부족으로 마감되었습니다.
 
 사전 구매 신청 인원이 많아 구매 마감되어 죄송합니다.
 
 * 해당 메시지는 고객의 신청으로 발송되는 1회성 메시지입니다.",구매,구매취소,신청하기
,JOBER0411_1655975091728,주문 안내,"안녕하세요. #{수신자명}님!
 #{수신자명}님의 소중한 주문 안내드립니다.
 
 ▶ 날짜 : #{날짜}
 ▶ 주문번호 : #{주문번호}
 ▶ 금액 : #{금액}
 
 감사합니다. 좋은 하루 되세요.",구매,구매완료,자세히보기
,JOBER0411_1655975643846,교환/환불 안내,"안녕하세요. #{수신자명} 고객님, 입니다.
 
 고객님께서 구매하신 상품은 #{제한 요인} 상품으로 단순 변심으로 인한 교환/환불이 불가합니다.
 
 제품 이상으로 인한 교환/환불은 가능하며, 문의 주시면 해결해드리겠습니다.
 
 감사합니다.",구매,구매완료,자세히보기
