텍스트,분류 1차,분류 2차,제목,반려 사유(요약)
"안녕하세요 #{회원명}님, 자버 플랫폼을 통해 고용노동부 HR 플랫폼 이용 지원 관련 안내를 드립니다.  - 지원대상: #{지원대상} - 지원내용: #{지원내용} - 신청기간: #{신청기간}  보다 자세한 정보는 아래 버튼에서 확인하실 수 있습니다.",서비스이용,이용안내/공지,정부지원금 안내,"알림톡 템플릿이 반려된 이유는 수신자의 액션을 기반으로 정보를 전달해야 하는데, 메시지 내용만으로는 수신 대상을 명확하게 확인하기 어려워서 반려되었습니다."
"안녕하세요 #{회원명}님, 자버 플랫폼을 통해 고용노동부 HR 플랫폼 이용 지원 관련 안내를 드립니다.  - 지원대상: #{지원대상} - 지원내용: #{지원내용} - 신청기간: #{신청기간}  보다 자세한 정보는 아래 버튼에서 확인하실 수 있습니다.",서비스이용,이용안내/공지,고용노동부 HR 플랫폼 이용 지원 안내,"알림톡 템플릿이 반려된 이유는 수신자의 액션을 기반으로 발송되는 정보성 메시지임에도 불구하고, 메시지 내용만으로는 수신 대상을 명확하게 확인하기 어렵다는 점입니다."
"안녕하세요, 고객님.  이 메시지는 제이플라랩 정보를 요청하신 고객님께 일회성으로 발송된 정보성 알림입니다.  제이플라랩은 피부 관리에 관한 다양한 서비스와 프로그램을 제공하고 있습니다. 고객님께서는 다음과 같은 정보를 참고해 주시기 바랍니다:  ▶ 서비스 내용: 피부 관리 및 관련 프로그램 ▶ 운영 시간: #{운영시간} ▶ 문의 전화: #{문의전화}  변경 사항이 있을 경우 사전에 안내 드리겠습니다.  감사합니다.",서비스이용,이용안내/공지,(전용) 피부 관리 안내_01 / 제이플라랩,"알림톡 템플릿이 반려된 이유는, 메시지가 광범위한 요청 내용으로 기재되어 어뷰징 우려가 있기 때문입니다."
"[#{음식점명} 안내]  안녕하세요, #{수신자명}님   #{음식점명}에 대한 정보를 요청해주셔서 감사합니다.    ▶ 안내사항: #{소식요약}  ※ 본 메시지는 #{음식점명} 관련 정보를 사전에 요청하신 고객님께 발송된 일회성 안내입니다.",서비스이용,이용안내/공지,(전용) 새로운 소식 안내 / 마라차이즈,알림톡 템플릿이 반려된 이유는 '광범위한 타이틀 및 변수내용으로 기재되어 어뷰징 우려가 존재'하기 때문입니다.
"[#{이벤트명} 관련 정보 안내]  안녕하세요, #{수신자명} 고객님   #{이벤트명}에 대한 상세 내용을 아래와 같이 안내드립니다.  ▶ 내용: #{이벤트내용}   ▶ 기간: #{참여기간}   ▶ 유의사항: #{유의사항}  ※ 본 메시지는 해당 이벤트 정보 제공을 요청하신 고객님께 발송된 일회성 안내입니다.",서비스이용,이용안내/공지,(전용) 이벤트 정보 안내 / 하이퍼밸류,알림톡 템플릿이 광고성 및 공지성 메시지로 판단되어 반려되었습니다.
"안녕하세요 #{수신자명} 고객님, 가구이즈 이벤트에 대한 정보입니다.  ▶ 행사명: 가구이즈 이벤트 ▶ 일정: #{일정} ▶ 장소: #{장소}  #{추가 메시지 - 해당 행사는 참여를 원하시는 분들께 열려 있으니 많은 관심 부탁드립니다.}  * 해당 메시지는 가구이즈 이벤트 정보를 신청하신 분들께 발송되는 메시지입니다.",서비스이용,이용안내/공지,(전용) 이벤트 정보 안내_01 / 가구이즈,알림톡 템플릿이 마케팅성 광고 메시지에 해당하여 알림톡 발송이 불가능한 사유로 반려되었습니다.
"안녕하세요 #{수신자명}님, 항상 #{발신 스페이스}의 #{서비스명}를 이용해주셔서 감사합니다.  이용에 불편함이 없도록 항상 최선을 다하겠습니다. 감사합니다.",서비스이용,이용안내/공지,이용 감사 인사,"알림톡이 반려된 이유는 수신자의 액션을 기반으로 정보를 전달해야 하는데, 메시지 내용만으로는 수신 대상을 명확하게 확인하기 어려워서 반려되었습니다."
"안녕하세요 #{수신자명}님, 기다리시던 #{상품} 상품의 사전 예약이 시작되었습니다. 늦기 전에 놓치지말고 신청하세요!  아래 버튼을 클릭하시면 신청하실 수 있습니다.",예약,예약완료,사전 구매 예약,"알림톡 템플릿이 반려된 이유는 수신자의 액션을 기반으로 정보를 제공해야 하는데, 메시지 내용만으로는 수신 대상을 명확하게 확인하기 어려워서 반려되었습니다. 발송되는 상황이나 수신자의 액션에 대한 추가 설명이 필요합니다."
"안녕하세요 #{수신자명}님,  고객님의 청구서가 도착하였으니, 아래 버튼을 눌러 확인해주시기 바랍니다.",리포팅,요금청구,청구서 도착 알림,알림톡 템플릿이 반려된 이유는 금융사고 예방 목적으로 결제/송금/납부 유도 메시지를 허용하지 않는 정책에 위반되었기 때문입니다.
"안녕하세요 #{수신자명}님, 코로나19 감염 예방을 위하여 내원 중에는 반드시 마스크를 착용해주시기 바랍니다.  감사합니다.",서비스이용,이용안내/공지,코로나 안내,"알림톡은 수신자의 액션을 기반한 정보성 메시지에 한하여 발송 가능하며, 해당 메시지 내용만으로는 수신 대상을 명확하게 확인하기 어려워 반려되었습니다. 발송되는 상황과 수신자의 액션을 명확히 설명해야 합니다."
